Palavra           ----TAMANHO
T     ----1
V     ----1
q     ----1
A     ----1
O     ----1
J     ----1
G     ----1
K     ----1
I     ----1
x     ----1
X     ----1
v     ----1
U     ----1
e     ----1
kB     ----2
tu     ----2
AU     ----2
Ty     ----2
Fi     ----2
bf     ----2
bk     ----2
sq     ----2
ea     ----2
cw     ----2
eh     ----2
cm     ----2
cc     ----2
bx     ----2
GT     ----2
xv     ----2
mm     ----2
ii     ----2
WV     ----2
Du     ----2
Ac     ----2
is     ----2
ix     ----2
UN     ----2
kb     ----2
kg     ----2
Tm     ----2
kl     ----2
Th     ----2
Tc     ----2
Sn     ----2
Te     ----2
SA     ----2
my     ----2
RV     ----2
QC     ----2
Pb     ----2
PX     ----2
PS     ----2
OT     ----2
OJ     ----2
oh     ----2
OE     ----2
Nd     ----2
NZ     ----2
Mt     ----2
Mo     ----2
Hg     ----2
Cu     ----2
MB     ----2
Lu     ----2
IC     ----2
rt     ----2
Dy     ----2
KS     ----2
EU     ----2
vu     ----2
IP     ----2
IA     ----2
wt     ----2
DC     ----2
of     ----2
qt     ----2
Ed     ----2
yr     ----2
pp     ----2
WI     ----2
HQ     ----2
AV     ----2
oz     ----2
At     ----2
BA     ----2
DZ     ----2
BP     ----2
Es     ----2
Co     ----2
Cm     ----2
Ce     ----2
CV     ----2
Cw     ----2
CB     ----2
G5     ----2
BC     ----2
Ag     ----2
EC     ----2
AI     ----2
nm     ----2
yo     ----2
ms     ----2
ye     ----2
sf     ----2
qr     ----2
VT     ----2
GP     ----2
GU     ----2
pd     ----2
ml     ----2
mg     ----2
Hz     ----2
kn     ----2
IQ     ----2
gr     ----2
gm     ----2
lo     ----2
pt     ----2
et     ----2
as     ----2
MD     ----2
WA     ----2
VG     ----2
Li     ----2
Tb     ----2
Sw     ----2
Sr     ----2
Sm     ----2
RU     ----2
SW     ----2
kW     ----2
MW     ----2
RP     ----2
Pu     ----2
Pk     ----2
PW     ----2
OD     ----2
NT     ----2
Ms     ----2
Mn     ----2
MK     ----2
MA     ----2
Lt     ----2
Ne     ----2
Nb     ----2
LG     ----2
Ku     ----2
OM     ----2
hi     ----2
PG     ----2
AA     ----2
Hi     ----2
HP     ----2
PE     ----2
PO     ----2
HF     ----2
Ge     ----2
Rh     ----2
Pr     ----2
GB     ----2
FM     ----2
SS     ----2
Ra     ----2
ff     ----2
El     ----2
Rf     ----2
Dr     ----2
Cs     ----2
Ta     ----2
Se     ----2
UL     ----2
AC     ----2
yd     ----2
um     ----2
UV     ----2
VJ     ----2
VF     ----2
uh     ----2
Np     ----2
à     ----2
VP     ----2
Ti     ----2
WO     ----2
pm     ----2
WY     ----2
Rb     ----2
pc     ----2
mu     ----2
by     ----2
VD     ----2
VI     ----2
mW     ----2
lg     ----2
ah     ----2
lb     ----2
km     ----2
ha     ----2
fr     ----2
ex     ----2
kV     ----2
au     ----2
qi     ----2
cpd     ----3
dBi     ----3
duh     ----3
chg     ----3
eTV     ----3
ere     ----3
bu.     ----3
flt     ----3
brr     ----3
fwd     ----3
QoS     ----3
had     ----3
has     ----3
hey     ----3
its     ----3
PPP     ----3
PMS     ----3
ZCC     ----3
Yid     ----3
PLO     ----3
PCI     ----3
jct     ----3
XOR     ----3
bbl     ----3
kob     ----3
aka     ----3
lbs     ----3
bes     ----3
WNO     ----3
WAC     ----3
liq     ----3
ago     ----3
mgr     ----3
VPN     ----3
mks     ----3
RPI     ----3
VDU     ----3
RSA     ----3
bys     ----3
non     ----3
ons     ----3
UWC     ----3
oom     ----3
USB     ----3
Zen     ----3
pl.     ----3
WWW     ----3
OTC     ----3
OSS     ----3
cpl     ----3
pvt     ----3
rt.     ----3
rte     ----3
TWX     ----3
TTL     ----3
soi     ----3
cwt     ----3
thy     ----3
VHS     ----3
deg     ----3
UTC     ----3
was     ----3
wee     ----3
y/K     ----3
USS     ----3
yin     ----3
zol     ----3
USN     ----3
AFC     ----3
UCT     ----3
AMA     ----3
BSD     ----3
SUV     ----3
SSS     ----3
SRO     ----3
BTW     ----3
CAA     ----3
SDI     ----3
SBA     ----3
CPA     ----3
TUC     ----3
DAT     ----3
DCM     ----3
Rt.     ----3
DJs     ----3
DTP     ----3
NRA     ----3
NFC     ----3
TNT     ----3
fas     ----3
ECG     ----3
EDP     ----3
TCP     ----3
Sea     ----3
RAC     ----3
R4s     ----3
Eli     ----3
SOE     ----3
FYI     ----3
SLR     ----3
GMO     ----3
fps     ----3
GMT     ----3
GPL     ----3
RSV     ----3
God     ----3
RPO     ----3
PTA     ----3
PRC     ----3
POP     ----3
R1s     ----3
h/E     ----3
PDQ     ----3
PBX     ----3
HMS     ----3
Pde     ----3
Omo     ----3
Oct     ----3
POW     ----3
OTB     ----3
I'd     ----3
ICM     ----3
OKs     ----3
OAP     ----3
heh     ----3
IOU     ----3
ITU     ----3
KDE     ----3
KFM     ----3
KGB     ----3
Koo     ----3
OED     ----3
BTU     ----3
LPG     ----3
LSD     ----3
Les     ----3
BRM     ----3
NSF     ----3
Ltd     ----3
Lyn     ----3
NQF     ----3
NFL     ----3
NCO     ----3
NBA     ----3
NHL     ----3
MCI     ----3
hr.     ----3
MPs     ----3
MRI     ----3
MTV     ----3
Min     ----3
Mme     ----3
BBS     ----3
NFS     ----3
NBS     ----3
NCC     ----3
NOx     ----3
i's     ----3
Nov     ----3
OAS     ----3
NBC     ----3
CDs     ----3
CEO     ----3
CIA     ----3
CMG     ----3
ODs     ----3
CPI     ----3
CSA     ----3
OTT     ----3
CSP     ----3
CSU     ----3
PAC     ----3
PCs     ----3
PFC     ----3
PHP     ----3
PST     ----3
Mrs     ----3
SOS     ----3
SSE     ----3
RAF     ----3
RAU     ----3
RMI     ----3
SST     ----3
STD     ----3
MTS     ----3
MTN     ----3
MSc     ----3
MST     ----3
